1,0594630943593;;;;;
109375;3,5;4;125000,00;;
;A;0;27,50;3977;3977,27272727274
;Bb;0;29,14;3754;3754,0455618022
;B;0;30,87;3543;3543,34717442181
;C;1;32,70;3344;3344,47437885001
;Db;1;34,65;3157;3156,76345561859
;D;1;36,71;2980;2979,58793697068
;Eb;1;38,89;2812;2812,35651608286
;E;1;41,20;2655;2654,5110736336
;F;1;43,65;2506;2505,52481513186
;Gb;1;46,25;2365;2364,90051278951
;G;1;49,00;2232;2232,16884606978
;Ab;1;51,91;2107;2106,8868353736
;A;1;55,00;1989;1988,63636363637
;Bb;1;58,27;1877;1877,0227809011
;B;1;61,74;1772;1771,67358721091
;C;2;65,41;1672;1672,237189425
;Db;2;69,30;1578;1578,38172780929
;D;2;73,42;1490;1489,79396848534
;Eb;2;77,78;1406;1406,17825804143
;E;2;82,41;1327;1327,2555368168
;F;2;87,31;1253;1252,76240756593
;Gb;2;92,50;1182;1182,45025639475
;G;2;98,00;1116;1116,08442303489
;Ab;2;103,83;1053;1053,4434176868
;A;2;110,00;994;994,318181818183
;Bb;2;116,54;939;938,511390450549
;B;2;123,47;886;885,836793605452
;C;3;130,81;836;836,118594712501
;Db;3;138,59;789;789,190863904645
;D;3;146,83;745;744,896984242669
;Eb;3;155,56;703;703,089129020716
;E;3;164,81;664;663,627768408398
;F;3;174,61;626;626,381203782963
;Gb;3;185,00;591;591,225128197376
;G;3;196,00;558;558,042211517444
;Ab;3;207,65;527;526,7217088434
;A;3;220,00;497;497,159090909091
;Bb;3;233,08;469;469,255695225274
;B;3;246,94;443;442,918396802726
;C;4;261,63;418;418,05929735625
;Db;4;277,18;395;394,595431952322
;D;4;293,66;372;372,448492121334
;Eb;4;311,13;352;351,544564510358
;E;4;329,63;332;331,813884204199
;F;4;349,23;313;313,190601891481
;Gb;4;369,99;296;295,612564098688
;G;4;392,00;279;279,021105758722
;Ab;4;415,30;263;263,3608544217
;A;4;440,00;249;248,579545454545
;Bb;4;466,16;235;234,627847612637
;B;4;493,88;221;221,459198401363
;C;5;523,25;209;209,029648678125
;Db;5;554,37;197;197,297715976161
;D;5;587,33;186;186,224246060667
;Eb;5;622,25;176;175,772282255179
;E;5;659,26;166;165,906942102099
;F;5;698,46;157;156,595300945741
;Gb;5;739,99;148;147,806282049344
;G;5;783,99;140;139,510552879361
;Ab;5;830,61;132;131,68042721085
;A;5;880,00;124;124,289772727273
;Bb;5;932,33;117;117,313923806318
;B;5;987,77;111;110,729599200681
;C;6;1046,50;105;104,514824339063
;Db;6;1108,73;99;98,6488579880806
;D;6;1174,66;93;93,1121230303335
;Eb;6;1244,51;88;87,8861411275893
;E;6;1318,51;83;82,9534710510497
;F;6;1396,91;78;78,2976504728703
;Gb;6;1479,98;74;73,9031410246719
;G;6;1567,98;70;69,7552764396805
;Ab;6;1661,22;66;65,8402136054249
;A;6;1760,00;62;62,1448863636363
;Bb;6;1864,66;59;58,6569619031592
;B;6;1975,53;55;55,3647996003407
;C;7;2093,00;52;52,2574121695312
;Db;7;2217,46;49;49,3244289940403
;D;7;2349,32;47;46,5560615151667
;Eb;7;2489,02;44;43,9430705637946
;E;7;2637,02;41;41,4767355255248
;F;7;2793,83;39;39,1488252364351
;Gb;7;2959,96;37;36,9515705123359
;G;7;3135,96;35;34,8776382198402
;Ab;7;3322,44;33;32,9201068027124
;A;7;3520,00;31;31,0724431818181
;Bb;7;3729,31;29;29,3284809515796
;B;7;3951,07;28;27,6823998001703
